Place Name,Municipality,Incorporation Date,Government,County,Map,Pop Rank,2014 Estimate,2010 Census,Change,Pop Density,Land Area,Water Area,Total Area,INCITS,WGS84
Fort Lupton,City of Fort Lupton,"January 15, 1890",statutory city,Weld County,map,54,"7,783","7,377",+5.50%,997 mi−2 385 km−2,7.7156 mi−2 19.9833 km−2,0.0373 mi−2 0.0965 km−2,7.7529 mi−2 20.0799 km−2,0827700,40°04′53″N 104°47′55″W﻿ / ﻿40.081503°N 104.798544°W
Fort Morgan,City of Fort Morgan,"June 15, 1887",home rule municipality,Morgan County[8],map,44,"11,329","11,315",+0.12%,2591 mi−2 1000 km−2,4.4027 mi−2 11.4030 km−2,0.0689 mi−2 0.1785 km−2,4.4716 mi−2 11.5815 km−2,0827810,40°15′22″N 103°47′29″W﻿ / ﻿40.256029°N 103.791319°W
Fountain,City of Fountain,"April 23, 1903",home rule municipality,El Paso County,map,25,"27,631","25,846",+6.91%,1113 mi−2 430 km−2,24.5017 mi−2 63.4592 km−2,0.0361 mi−2 0.0935 km−2,24.5378 mi−2 63.5527 km−2,0827865,38°41′58″N 104°41′59″W﻿ / ﻿38.699580°N 104.699758°W
Fowler,Town of Fowler,"August 25, 1900",statutory town,Otero County,map,138,"1,155","1,182",−2.28%,2233 mi−2 862 km−2,0.5236 mi−2 1.3560 km−2,none,0.5236 mi−2 1.3560 km−2,0827975,38°07′47″N 104°01′32″W﻿ / ﻿38.129631°N 104.025673°W
Foxfield,Town of Foxfield,"December 15, 1994",statutory town,Arapahoe County,map,168,741,685,+8.18%,573 mi−2 221 km−2,1.2775 mi−2 3.3087 km−2,none,1.2775 mi−2 3.3087 km−2,0828105,39°35′18″N 104°47′09″W﻿ / ﻿39.588405°N 104.785823°W
Fraser,Town of Fraser,"June 15, 1953",statutory town,Grand County,map,137,"1,165","1,224",−4.82%,329 mi−2 127 km−2,3.5064 mi−2 9.0815 km−2,0.0050 mi−2 0.0129 km−2,3.5114 mi−2 9.0944 km−2,0828305,39°55′24″N 105°48′19″W﻿ / ﻿39.923324°N 105.805286°W
Frederick,Town of Frederick,"September 9, 1908",statutory town,Weld County,map,45,"10,927","8,679",+25.90%,733 mi−2 283 km−2,13.9101 mi−2 36.0270 km−2,0.1333 mi−2 0.3453 km−2,14.0434 mi−2 36.3723 km−2,0828360,40°06′34″N 104°57′55″W﻿ / ﻿40.109362°N 104.965251°W
Frisco,Town of Frisco,"December 3, 1880",home rule municipality,Summit County,map,93,"2,914","2,683",+8.61%,1674 mi−2 646 km−2,1.6851 mi−2 4.3645 km−2,0.1022 mi−2 0.2648 km−2,1.7874 mi−2 4.6293 km−2,0828690,39°34′43″N 106°05′28″W﻿ / ﻿39.578482°N 106.090973°W
Fruita,City of Fruita,"April 18, 1894",home rule municipality,Mesa County,map,40,"12,761","12,646",+0.91%,1669 mi−2 644 km−2,7.6236 mi−2 19.7450 km−2,0.1859 mi−2 0.4814 km−2,7.8094 mi−2 20.2264 km−2,0828745,39°09′14″N 108°43′42″W﻿ / ﻿39.153960°N 108.728196°W
Garden City,Town of Garden City,"September 14, 1936",statutory town,Weld County,map,223,264,234,+12.82%,2321 mi−2 896 km−2,0.1129 mi−2 0.2924 km−2,none,0.1129 mi−2 0.2924 km−2,0829185,40°23′41″N 104°41′22″W﻿ / ﻿40.394591°N 104.689494°W
Genoa,Town of Genoa,"July 27, 1905",statutory town,Lincoln County,map,245,140,139,+0.72%,386 mi−2 149 km−2,0.3576 mi−2 0.9262 km−2,none,0.3576 mi−2 0.9262 km−2,0829680,39°16′42″N 103°29′56″W﻿ / ﻿39.278330°N 103.498786°W
Georgetown,Town of Georgetown,"January 10, 1868",territorial charter municipality,Clear Creek County[8],map,142,"1,038","1,034",+0.39%,1061 mi−2 410 km−2,0.9689 mi−2 2.5094 km−2,0.1013 mi−2 0.2624 km−2,1.0702 mi−2 2.7718 km−2,0829735,39°43′17″N 105°41′39″W﻿ / ﻿39.721298°N 105.694029°W
Gilcrest,Town of Gilcrest,"March 18, 1912",statutory town,Weld County,map,140,"1,080","1,034",+4.45%,1323 mi−2 511 km−2,0.8110 mi−2 2.1004 km−2,none,0.8110 mi−2 2.1004 km−2,0829955,40°17′03″N 104°46′55″W﻿ / ﻿40.284156°N 104.782024°W
Glendale,City of Glendale,"May 19, 1952",home rule municipality,Arapahoe County,map,77,"5,115","4,184",+22.25%,7821 mi−2 3020 km−2,0.5769 mi−2 1.4943 km−2,0.0022 mi−2 0.0057 km−2,0.5792 mi−2 1.5000 km−2,0830340,39°42′11″N 104°56′10″W﻿ / ﻿39.702917°N 104.936069°W
Glenwood Springs,City of Glenwood Springs,"September 4, 1885",home rule municipality,Garfield County[8],map,47,"9,840","9,614",+2.35%,1731 mi−2 668 km−2,5.6828 mi−2 14.7184 km−2,0.0089 mi−2 0.0231 km−2,5.6917 mi−2 14.7415 km−2,0830780,39°33′02″N 107°19′28″W﻿ / ﻿39.550626°N 107.324308°W
Golden,City of Golden,"January 2, 1871[27]",home rule municipality,Jefferson County[8],map,30,"20,201","18,867",+7.07%,1948 mi−2 752 km−2,9.9557 mi−2 25.7852 km−2,0.0968 mi−2 0.2507 km−2,10.0525 mi−2 26.0359 km−2,0830835,39°44′33″N 105°12′38″W﻿ / ﻿39.742483°N 105.210561°W
Granada,Town of Granada,"July 25, 1887",statutory town,Prowers County,map,196,490,517,−5.22%,710 mi−2 274 km−2,0.7053 mi−2 1.8268 km−2,none,0.7053 mi−2 1.8268 km−2,0831550,38°03′47″N 102°18′42″W﻿ / ﻿38.062975°N 102.311707°W
Granby,Town of Granby,"December 11, 1905",statutory town,Grand County,map,117,"1,808","1,864",−3.00%,138 mi−2 53 km−2,12.9832 mi−2 33.6263 km−2,none,12.9832 mi−2 33.6263 km−2,0831605,40°02′13″N 105°54′01″W﻿ / ﻿40.036989°N 105.900174°W
Grand Junction,City of Grand Junction,"July 22, 1882",home rule municipality,Mesa County[8],map,16,"60,210","58,566",+2.81%,1535 mi−2 593 km−2,38.9379 mi−2 100.8486 km−2,0.3545 mi−2 0.9181 km−2,39.2924 mi−2 101.7667 km−2,0831660,39°05′21″N 108°34′03″W﻿ / ﻿39.089062°N 108.567452°W
Grand Lake,Town of Grand Lake,"June 23, 1944",statutory town,Grand County,map,200,466,471,−1.06%,435 mi−2 168 km−2,1.0490 mi−2 2.7170 km−2,0.0005 mi−2 0.0013 km−2,1.0495 mi−2 2.7183 km−2,0831715,40°14′48″N 105°49′32″W﻿ / ﻿40.246652°N 105.825629°W
Greeley,City of Greeley,"November 15, 1885",home rule municipality,Weld County[8],map,12,"98,596","92,889",+6.14%,2049 mi−2 791 km−2,47.1215 mi−2 122.0442 km−2,0.1225 mi−2 0.3172 km−2,47.2440 mi−2 122.3614 km−2,0832155,40°24′51″N 104°46′16″W﻿ / ﻿40.414034°N 104.771043°W
Green Mountain Falls,Town of Green Mountain Falls,"August 19, 1880",statutory town,El Paso CountyTeller County,map,176,676,640,+5.63%,627 mi−2 242 km−2,1.0673 mi−2 2.7642 km−2,0.0016 mi−2 0.0041 km−2,1.0688 mi−2 2.7683 km−2,0832650,38°56′06″N 105°01′11″W﻿ / ﻿38.934954°N 105.019713°W
Greenwood Village,City of Greenwood Village,"September 19, 1950",home rule municipality,Arapahoe County,map,35,"15,385","13,925",+10.48%,1775 mi−2 685 km−2,8.2539 mi−2 21.3776 km−2,0.0124 mi−2 0.0321 km−2,8.2663 mi−2 21.4097 km−2,0833035,39°36′57″N 104°54′42″W﻿ / ﻿39.615934°N 104.911688°W
Grover,Town of Grover,"October 6, 1916",statutory town,Weld County,map,243,145,137,+5.84%,233 mi−2 90 km−2,0.5954 mi−2 1.5422 km−2,none,0.5954 mi−2 1.5422 km−2,0833310,40°52′09″N 104°13′33″W﻿ / ﻿40.869111°N 104.225932°W
Gunnison,City of Gunnison,"March 1, 1880",home rule municipality,Gunnison County[8],map,68,"5,973","5,854",+2.03%,1413 mi−2 545 km−2,4.1570 mi−2 10.7667 km−2,none,4.1570 mi−2 10.7667 km−2,0833640,38°32′44″N 106°55′21″W﻿ / ﻿38.545479°N 106.922551°W
Gypsum,Town of Gypsum,"November 25, 1911",home rule municipality,Eagle County,map,60,"6,797","6,477",+4.94%,771 mi−2 298 km−2,8.6514 mi−2 22.4069 km−2,0.0850 mi−2 0.2200 km−2,8.7363 mi−2 22.6270 km−2,0833695,39°38′24″N 106°54′41″W﻿ / ﻿39.639971°N 106.911471°W
Hartman,Town of Hartman,"May 14, 1910",statutory town,Prowers County,map,260,73,81,−9.88%,275 mi−2 106 km−2,0.2725 mi−2 0.7059 km−2,none,0.2725 mi−2 0.7059 km−2,0834520,38°07′16″N 102°13′18″W﻿ / ﻿38.121118°N 102.221652°W
Haswell,Town of Haswell,"September 2, 1920",statutory town,Kiowa County,map,261,68,68,0.00%,81 mi−2 31 km−2,0.8520 mi−2 2.2067 km−2,none,0.8520 mi−2 2.2067 km−2,0834740,38°27′09″N 103°09′54″W﻿ / ﻿38.452451°N 103.164896°W
Haxtun,Town of Haxtun,"July 30, 1909",statutory town,Phillips County,map,150,933,946,−1.37%,1728 mi−2 667 km−2,0.5375 mi−2 1.3920 km−2,none,0.5375 mi−2 1.3920 km−2,0834960,40°38′29″N 102°37′46″W﻿ / ﻿40.641520°N 102.629539°W
Hayden,Town of Hayden,"May 5, 1906",home rule municipality,Routt County,map,116,"1,837","1,810",+1.49%,599 mi−2 231 km−2,3.0047 mi−2 7.7821 km−2,none,3.0047 mi−2 7.7821 km−2,0835070,40°29′07″N 107°14′32″W﻿ / ﻿40.485241°N 107.242311°W
Hillrose,Town of Hillrose,"May 20, 1919",statutory town,Morgan County,map,229,250,264,−5.30%,1290 mi−2 498 km−2,0.1939 mi−2 0.5021 km−2,none,0.1939 mi−2 0.5021 km−2,0836610,40°19′29″N 103°31′20″W﻿ / ﻿40.324654°N 103.522175°W
Holly,Town of Holly,"September 4, 1903",statutory town,Prowers County,map,164,766,802,−4.49%,1075 mi−2 415 km−2,0.7252 mi−2 1.8784 km−2,0.0010 mi−2 0.0026 km−2,0.7263 mi−2 1.8810 km−2,0837215,38°03′20″N 102°07′29″W﻿ / ﻿38.055639°N 102.124589°W
Holyoke,City of Holyoke,"May 31, 1888",home rule municipality,Phillips County[8],map,108,"2,263","2,313",−2.16%,957 mi−2 369 km−2,2.3657 mi−2 6.1272 km−2,0.0070 mi−2 0.0180 km−2,2.3727 mi−2 6.1452 km−2,0837270,40°34′56″N 102°17′54″W﻿ / ﻿40.582094°N 102.298414°W
Hooper,Town of Hooper,"May 20, 1898",statutory town,Alamosa County,map,257,103,103,0.00%,401 mi−2 155 km−2,0.2520 mi−2 0.6527 km−2,none,0.2520 mi−2 0.6527 km−2,0837380,37°44′46″N 105°52′40″W﻿ / ﻿37.745976°N 105.877735°W
Hot Sulphur Springs,Town of Hot Sulphur Springs,"April 1, 1903",statutory town,Grand County[8],map,178,656,663,−1.06%,842 mi−2 325 km−2,0.7592 mi−2 1.9664 km−2,none,0.7592 mi−2 1.9664 km−2,0837600,40°04′29″N 106°06′09″W﻿ / ﻿40.074834°N 106.102486°W
Hotchkiss,Town of Hotchkiss,"March 14, 1901",statutory town,Delta County,map,152,907,944,−3.92%,1007 mi−2 389 km−2,0.9125 mi−2 2.3635 km−2,none,0.9125 mi−2 2.3635 km−2,0837545,38°47′57″N 107°42′49″W﻿ / ﻿38.799065°N 107.713633°W
Hudson,Town of Hudson,"April 2, 1914",statutory town,Weld County,map,101,"2,569","2,356",+9.04%,502 mi−2 194 km−2,4.7874 mi−2 12.3994 km−2,0.0200 mi−2 0.0519 km−2,4.8075 mi−2 12.4513 km−2,0837820,40°04′42″N 104°38′28″W﻿ / ﻿40.078388°N 104.641005°W
Hugo,Town of Hugo,"June 21, 1909",statutory town,Lincoln County[8],map,169,731,730,+0.14%,769 mi−2 297 km−2,0.9390 mi−2 2.4319 km−2,none,0.9390 mi−2 2.4319 km−2,0837875,39°08′09″N 103°28′24″W﻿ / ﻿39.135962°N 103.473373°W
Idaho Springs,City of Idaho Springs,"November 15, 1885",statutory city,Clear Creek County,map,120,"1,710","1,717",−0.41%,795 mi−2 307 km−2,2.1198 mi−2 5.4902 km−2,0.0334 mi−2 0.0864 km−2,2.1532 mi−2 5.5767 km−2,0838370,39°44′56″N 105°30′17″W﻿ / ﻿39.748923°N 105.504759°W
Ignacio,Town of Ignacio,"July 7, 1913",statutory town,La Plata County,map,171,721,697,+3.44%,1709 mi−2 660 km−2,0.4155 mi−2 1.0762 km−2,none,0.4155 mi−2 1.0762 km−2,0838535,37°07′04″N 107°38′15″W﻿ / ﻿37.117729°N 107.637460°W
Iliff,Town of Iliff,"February 20, 1906",statutory town,Logan County,map,225,258,266,−3.01%,1018 mi−2 393 km−2,0.2524 mi−2 0.6537 km−2,none,0.2524 mi−2 0.6537 km−2,0838590,40°45′30″N 103°03′58″W﻿ / ﻿40.758333°N 103.066128°W
Jamestown,Town of Jamestown,"June 22, 1883",statutory town,Boulder County,map,224,262,274,−4.38%,454 mi−2 175 km−2,0.6236 mi−2 1.6151 km−2,0.0004 mi−2 0.0010 km−2,0.6240 mi−2 1.6161 km−2,0839195,40°07′01″N 105°23′21″W﻿ / ﻿40.117078°N 105.389048°W
Johnstown,Town of Johnstown,"May 13, 1907",home rule municipality,Weld CountyLarimer County,map,38,"13,306","9,887",+34.58%,876 mi−2 338 km−2,13.8030 mi−2 35.7496 km−2,0.0853 mi−2 0.2209 km−2,13.8883 mi−2 35.9705 km−2,0839855,40°23′23″N 104°58′10″W﻿ / ﻿40.389789°N 104.969443°W
Julesburg,Town of Julesburg,"November 18, 1886",statutory town,Sedgwick County[8],map,134,"1,211","1,225",−1.14%,821 mi−2 317 km−2,1.4839 mi−2 3.8432 km−2,none,1.4839 mi−2 3.8432 km−2,0839965,40°59′06″N 102°15′45″W﻿ / ﻿40.984988°N 102.262580°W
Keenesburg,Town of Keenesburg,"June 4, 1919",statutory town,Weld County,map,135,"1,191","1,127",+5.68%,529 mi−2 204 km−2,2.2341 mi−2 5.7862 km−2,0.0279 mi−2 0.0724 km−2,2.2620 mi−2 5.8586 km−2,0840185,40°06′47″N 104°29′21″W﻿ / ﻿40.112932°N 104.489163°W
Kersey,Town of Kersey,"December 3, 1908",statutory town,Weld County,map,124,"1,560","1,454",+7.29%,1266 mi−2 489 km−2,1.2082 mi−2 3.1291 km−2,none,1.2082 mi−2 3.1291 km−2,0840515,40°23′15″N 104°33′57″W﻿ / ﻿40.387430°N 104.565866°W
Kim,Town of Kim,1910,statutory town,Las Animas County,map,262,67,74,−9.46%,182 mi−2 70 km−2,0.3787 mi−2 0.9809 km−2,none,0.3787 mi−2 0.9809 km−2,0840570,37°14′49″N 103°21′12″W﻿ / ﻿37.247062°N 103.353411°W
Kiowa,Town of Kiowa,"December 30, 1912",home rule municipality,Elbert County[8],map,167,742,723,+2.63%,824 mi−2 318 km−2,0.8845 mi−2 2.2908 km−2,0.0021 mi−2 0.0054 km−2,0.8866 mi−2 2.2963 km−2,0840790,39°20′37″N 104°27′26″W﻿ / ﻿39.343530°N 104.457176°W
Kit Carson,Town of Kit Carson,"July 13, 1931",statutory town,Cheyenne County,map,234,235,233,+0.86%,407 mi−2 157 km−2,0.5841 mi−2 1.5128 km−2,none,0.5841 mi−2 1.5128 km−2,0841010,38°45′46″N 102°47′43″W﻿ / ﻿38.762823°N 102.795366°W
Kremmling,Town of Kremmling,"May 14, 1904",statutory town,Grand County,map,129,"1,404","1,444",−2.77%,1051 mi−2 406 km−2,1.3231 mi−2 3.4269 km−2,none,1.3231 mi−2 3.4269 km−2,0841560,40°03′24″N 106°22′41″W﻿ / ﻿40.056543°N 106.378160°W
La Jara,Town of La Jara,"November 11, 1910",statutory town,Conejos County,map,160,817,818,−0.12%,2071 mi−2 800 km−2,0.3955 mi−2 1.0244 km−2,none,0.3955 mi−2 1.0244 km−2,0842055,37°16′25″N 105°57′35″W﻿ / ﻿37.273562°N 105.959821°W
La Junta,City of La Junta,"April 23, 1881",home rule municipality,Otero County[8],map,58,"6,964","7,077",−1.60%,2347 mi−2 906 km−2,3.0159 mi−2 7.8112 km−2,0.0059 mi−2 0.0152 km−2,3.0218 mi−2 7.8265 km−2,0842110,37°58′46″N 103°32′50″W﻿ / ﻿37.979414°N 103.547336°W
La Veta,Town of La Veta,"June 16, 1886",statutory town,Huerfano County,map,166,758,800,−5.25%,560 mi−2 216 km−2,1.3665 mi−2 3.5392 km−2,none,1.3665 mi−2 3.5392 km−2,0844100,37°30′31″N 105°00′31″W﻿ / ﻿37.508562°N 105.008487°W
Lafayette,City of Lafayette,"January 6, 1890",home rule municipality,Boulder County,map,26,"27,081","24,453",+10.75%,2874 mi−2 1110 km−2,9.3201 mi−2 24.1389 km−2,0.2028 mi−2 0.5253 km−2,9.5229 mi−2 24.6642 km−2,0841835,39°59′43″N 105°05′59″W﻿ / ﻿39.995268°N 105.099620°W
Lake City,Town of Lake City,"September 19, 1884",statutory town,Hinsdale County[8],map,210,378,408,−7.35%,471 mi−2 182 km−2,0.8321 mi−2 2.1551 km−2,0.0097 mi−2 0.0250 km−2,0.8417 mi−2 2.1801 km−2,0842330,38°01′50″N 107°18′37″W﻿ / ﻿38.030504°N 107.310176°W
Lakeside[28],Town of Lakeside,"November 25, 1907",statutory town,Jefferson County,map,271,8,8,0.00%,43 mi−2 16 km−2,0.1876 mi−2 0.4860 km−2,0.0607 mi−2 0.1573 km−2,0.2484 mi−2 0.6432 km−2,0842495,39°46′45″N 105°03′28″W﻿ / ﻿39.779075°N 105.057825°W
Lakewood,City of Lakewood,"June 24, 1969",home rule municipality,Jefferson County,map,5,"149,643","142,980",+4.66%,3434 mi−2 1326 km−2,42.8725 mi−2 111.0391 km−2,1.1800 mi−2 3.0563 km−2,44.0525 mi−2 114.0954 km−2,0843000,39°41′56″N 105°07′03″W﻿ / ﻿39.698942°N 105.117551°W
Lamar,City of Lamar,"December 5, 1886",home rule municipality,Prowers County[8],map,55,"7,608","7,804",−2.51%,1546 mi−2 597 km−2,5.0305 mi−2 13.0288 km−2,0.0002 mi−2 0.0006 km−2,5.0307 mi−2 13.0294 km−2,0843110,38°04′29″N 102°37′00″W﻿ / ﻿38.074729°N 102.616682°W
Larkspur,Town of Larkspur,1979,home rule municipality,Douglas County,map,236,198,183,+8.20%,124 mi−2 48 km−2,1.5609 mi−2 4.0426 km−2,none,1.5609 mi−2 4.0426 km−2,0843550,39°13′47″N 104°53′09″W﻿ / ﻿39.229776°N 104.885758°W
Las Animas,City of Las Animas,"May 15, 1886",statutory city,Bent County[8],map,110,"2,198","2,410",−8.80%,1390 mi−2 537 km−2,1.6200 mi−2 4.1957 km−2,0.0459 mi−2 0.1188 km−2,1.6658 mi−2 4.3145 km−2,0843660,38°04′11″N 103°13′24″W﻿ / ﻿38.069668°N 103.223229°W
LaSalle,Town of LaSalle,1910,statutory town,Weld County,map,113,"2,047","1,955",+4.71%,2231 mi−2 861 km−2,0.9101 mi−2 2.3572 km−2,none,0.9101 mi−2 2.3572 km−2,0843605,40°20′55″N 104°42′21″W﻿ / ﻿40.348525°N 104.705927°W
Leadville,City of Leadville,"February 18, 1878",statutory city,Lake County[8],map,99,"2,595","2,602",−0.27%,2339 mi−2 903 km−2,1.1029 mi−2 2.8565 km−2,none,1.1029 mi−2 2.8565 km−2,0844320,39°14′48″N 106°17′37″W﻿ / ﻿39.246693°N 106.293509°W
Limon,Town of Limon,"November 18, 1909",statutory town,Lincoln County,map,115,"1,887","1,880",+0.37%,609 mi−2 235 km−2,3.0516 mi−2 7.9037 km−2,0.0317 mi−2 0.0821 km−2,3.0833 mi−2 7.9858 km−2,0844980,39°15′53″N 103°41′02″W﻿ / ﻿39.264844°N 103.683757°W
Littleton,City of Littleton,"March 13, 1890",home rule municipality,Arapahoe County[8]Jefferson CountyDouglas County,map,20,"44,669","41,737",+7.02%,3476 mi−2 1342 km−2,12.7355 mi−2 32.9849 km−2,1.1279 mi−2 2.9212 km−2,13.8634 mi−2 35.9061 km−2,0845255,39°35′25″N 105°01′12″W﻿ / ﻿39.590375°N 105.020084°W
Lochbuie,Town of Lochbuie,May 1974,statutory town,Weld CountyAdams County,map,75,"5,302","4,726",+12.19%,1396 mi−2 539 km−2,3.7191 mi−2 9.6325 km−2,0.0230 mi−2 0.0595 km−2,3.7421 mi−2 9.6920 km−2,0845530,40°00′38″N 104°43′28″W﻿ / ﻿40.010496°N 104.724484°W
Log Lane Village,Town of Log Lane Village,"June 12, 1956",statutory town,Morgan County,map,156,872,873,−0.11%,3173 mi−2 1225 km−2,0.2739 mi−2 0.7093 km−2,none,0.2739 mi−2 0.7093 km−2,0845695,40°16′13″N 103°49′46″W﻿ / ﻿40.270230°N 103.829382°W
Lone Tree,City of Lone Tree,November 1995,home rule municipality,Douglas County,map,37,"13,545","10,218",+32.56%,1371 mi−2 529 km−2,9.6759 mi−2 25.0604 km−2,none,9.6759 mi−2 25.0604 km−2,0845955,39°31′51″N 104°52′16″W﻿ / ﻿39.530744°N 104.871031°W
Longmont,City of Longmont,"November 15, 1885",home rule municipality,Boulder CountyWeld County,map,13,"90,237","86,270",+4.60%,3299 mi−2 1274 km−2,27.2550 mi−2 70.5901 km−2,1.4700 mi−2 3.8074 km−2,28.7250 mi−2 74.3974 km−2,0845970,40°10′11″N 105°05′56″W﻿ / ﻿40.169842°N 105.099006°W
Louisville,City of Louisville,"June 3, 1882",home rule municipality,Boulder County,map,31,"20,112","18,376",+9.45%,2461 mi−2 950 km−2,7.9598 mi−2 20.6158 km−2,0.1140 mi−2 0.2952 km−2,8.0738 mi−2 20.9110 km−2,0846355,39°58′10″N 105°08′36″W﻿ / ﻿39.969532°N 105.143215°W
Loveland,City of Loveland,"April 30, 1881",home rule municipality,Larimer County,map,14,"72,651","66,859",+8.66%,2102 mi−2 812 km−2,33.9341 mi−2 87.8889 km−2,1.4678 mi−2 3.8017 km−2,35.4019 mi−2 91.6906 km−2,0846465,40°25′01″N 105°03′47″W﻿ / ﻿40.416905°N 105.063111°W
Lyons,Town of Lyons,"April 10, 1891",statutory town,Boulder County,map,112,"2,108","2,033",+3.69%,1697 mi−2 655 km−2,1.2390 mi−2 3.2090 km−2,0.0163 mi−2 0.0423 km−2,1.2554 mi−2 3.2514 km−2,0847070,40°13′23″N 105°16′07″W﻿ / ﻿40.223050°N 105.268665°W
Manassa,Town of Manassa,"June 6, 1889",statutory town,Conejos County,map,145,978,991,−1.31%,1052 mi−2 406 km−2,0.9312 mi−2 2.4118 km−2,none,0.9312 mi−2 2.4118 km−2,0848060,37°10′26″N 105°56′14″W﻿ / ﻿37.173841°N 105.937275°W
Mancos,Town of Mancos,"November 30, 1894",statutory town,Montezuma County,map,132,"1,377","1,336",+3.07%,2132 mi−2 823 km−2,0.6383 mi−2 1.6532 km−2,none,0.6383 mi−2 1.6532 km−2,0848115,37°20′48″N 108°17′38″W﻿ / ﻿37.346597°N 108.293856°W
Manitou Springs,City of Manitou Springs,"January 25, 1888",home rule municipality,El Paso County,map,74,"5,314","4,992",+6.45%,1662 mi−2 642 km−2,3.1565 mi−2 8.1753 km−2,none,3.1565 mi−2 8.1753 km−2,0848445,38°51′27″N 104°54′45″W﻿ / ﻿38.857602°N 104.912429°W
Manzanola,Town of Manzanola,"July 9, 1900",statutory town,Otero County,map,204,425,434,−2.07%,1556 mi−2 601 km−2,0.2764 mi−2 0.7158 km−2,none,0.2764 mi−2 0.7158 km−2,0848500,38°06′32″N 103°52′00″W﻿ / ﻿38.108825°N 103.866778°W
Marble,Town of Marble,1899,statutory town,Gunnison County,map,248,131,131,0.00%,330 mi−2 127 km−2,0.3945 mi−2 1.0218 km−2,none,0.3945 mi−2 1.0218 km−2,0848555,39°04′19″N 107°11′26″W﻿ / ﻿39.071817°N 107.190467°W
Mead,Town of Mead,"March 17, 1908",statutory town,Weld County,map,84,"4,104","3,405",+20.53%,369 mi−2 142 km−2,10.8107 mi−2 27.9996 km−2,0.0847 mi−2 0.2194 km−2,10.8954 mi−2 28.2191 km−2,0849600,40°13′37″N 104°59′18″W﻿ / ﻿40.226983°N 104.988312°W
Meeker,Town of Meeker,"November 10, 1885",statutory town,Rio Blanco County[8],map,105,"2,429","2,475",−1.86%,711 mi−2 275 km−2,3.5052 mi−2 9.0785 km−2,none,3.5052 mi−2 9.0785 km−2,0849875,40°02′59″N 107°53′43″W﻿ / ﻿40.049800°N 107.895355°W
Merino,Town of Merino,"January 4, 1917",statutory town,Logan County,map,219,282,284,−0.70%,1650 mi−2 637 km−2,0.1673 mi−2 0.4332 km−2,none,0.1673 mi−2 0.4332 km−2,0850040,40°29′05″N 103°21′13″W﻿ / ﻿40.484825°N 103.353616°W
Milliken,Town of Milliken,"October 1, 1910",statutory town,Weld County,map,67,"6,091","5,610",+8.57%,471 mi−2 182 km−2,12.5898 mi−2 32.6074 km−2,0.0844 mi−2 0.2187 km−2,12.6742 mi−2 32.8261 km−2,0850480,40°18′38″N 104°51′30″W﻿ / ﻿40.310502°N 104.858384°W
Minturn,Town of Minturn,"November 23, 1904",home rule municipality,Eagle County,map,143,"1,035","1,027",+0.78%,134 mi−2 52 km−2,7.6599 mi−2 19.8389 km−2,0.1804 mi−2 0.4672 km−2,7.8402 mi−2 20.3061 km−2,0850920,39°32′08″N 106°22′54″W﻿ / ﻿39.535508°N 106.381727°W
Moffat,Town of Moffat,"April 20, 1911",statutory town,Saguache County,map,252,116,116,0.00%,83 mi−2 32 km−2,1.4014 mi−2 3.6296 km−2,none,1.4014 mi−2 3.6296 km−2,0851250,38°00′07″N 105°54′20″W﻿ / ﻿38.001997°N 105.905455°W
Monte Vista,City of Monte Vista,"September 27, 1886",home rule municipality,Rio Grande County,map,82,"4,311","4,444",−2.99%,1692 mi−2 653 km−2,2.5927 mi−2 6.7150 km−2,0.0179 mi−2 0.0465 km−2,2.6106 mi−2 6.7614 km−2,0851635,37°34′43″N 106°09′02″W﻿ / ﻿37.578541°N 106.150630°W
Montezuma,Town of Montezuma,1882,statutory town,Summit County,map,262,67,65,+3.08%,833 mi−2 321 km−2,0.0793 mi−2 0.2053 km−2,none,0.0793 mi−2 0.2053 km−2,0851690,39°34′54″N 105°52′05″W﻿ / ﻿39.581706°N 105.868071°W
Montrose,City of Montrose,"May 1, 1882",home rule municipality,Montrose County[8],map,32,"19,045","19,132",−0.45%,1080 mi−2 417 km−2,17.6085 mi−2 45.6058 km−2,none,17.6085 mi−2 45.6058 km−2,0851745,38°28′09″N 107°51′38″W﻿ / ﻿38.469173°N 107.860682°W
Monument,Town of Monument,"May 14, 1881",statutory town,El Paso County,map,65,"6,391","5,530",+15.57%,861 mi−2 333 km−2,6.7534 mi−2 17.4913 km−2,0.0497 mi−2 0.1288 km−2,6.8031 mi−2 17.6200 km−2,0851800,39°04′29″N 104°50′38″W﻿ / ﻿39.074698°N 104.843906°W
Morrison,Town of Morrison,"January 29, 1906",home rule municipality,Jefferson County,map,203,431,428,+0.70%,197 mi−2 76 km−2,2.1886 mi−2 5.6683 km−2,0.0035 mi−2 0.0089 km−2,2.1920 mi−2 5.6773 km−2,0852075,39°37′32″N 105°12′29″W﻿ / ﻿39.625613°N 105.207919°W
Mount Crested Butte[29],Town of Mount Crested Butte,1973,home rule municipality,Gunnison County,map,193,522,507,+2.96%,233 mi−2 90 km−2,2.2187 mi−2 5.7463 km−2,none,2.2187 mi−2 5.7463 km−2,0852570,38°54′30″N 106°57′31″W﻿ / ﻿38.908453°N 106.958673°W
